lemma	word	grammemes
Иван	Ивана	мр,ед,рд
Иван	Ивану	мр,ед,дт
Иван	Ивана	мр,ед,вн
Иван	Иваном	мр,ед,тв
Иван	Иване	мр,ед,пр
Маша	Маши	жр,ед,рд
Маша	Маше	жр,ед,дт
Маша	Машу	жр,ед,вн
Маша	Машей	жр,ед,тв
Маша	Маше	жр,ед,пр
Саша	Саше	мр,ед,дт
Анна-Мария	Анне-Марии	жр,ед,дт
Геннадий	Геннадий	мр,ед,им
Мария	Марии	жр,ед,рд
Василий	Василию	мр,ед,дт
Ксюша	Ксюшу	жр,ед,вн
Паша	Пашей	жр,ед,тв
Елена	Елене	жр,ед,пр
Ринат	Рината	мр,ед,рд
Ринат	Ринату	мр,ед,дт
Ринат	Рината	мр,ед,вн
Ринат	Ринатом	мр,ед,тв
Ринат	Ринате	мр,ед,пр
Мария	Марии	жр,ед,рд
Мария	Марии	жр,ед,дт
Мария	Марию	жр,ед,вн
Мария	Марией	жр,ед,тв
Мария	Марии	жр,ед,пр
Бьянка	Бьянки	жр,ед,рд
Никита	Никиты	мр,ед,рд
Дима	Димы	мр,ед,рд
Ольга	Ольги	жр,ед,рд
