lemma	gender
Анастасия	жр
Марина	жр
Мирослава	жр
Марьяна	жр
Анна	жр
Светлана	жр
Галина	жр
Анжелика	жр
Мария	жр
Варвара	жр
Людмила	жр
Нелли	жр
Елена	жр
Софья	жр
Валентина	жр
Влада	жр
Дарья	жр
Диана	жр
Нина	жр
Виталина	жр
Алина	жр
Яна	жр
Эмилия	жр
Майя	жр
Ирина	жр
Кира	жр
Камилла	жр
Тамара	жр
Екатерина	жр
Ангелина	жр
Альбина	жр
Мелания	жр
Арина	жр
Маргарита	жр
Лилия	жр
Лиана	жр
Полина	жр
Ева	жр
Любовь	жр
Василина	жр
Ольга	жр
Алёна	жр
Лариса	жр
Зарина	жр
Юлия	жр
Дарина	жр
Эвелина	жр
Алия	жр
Татьяна	жр
Карина	жр
Инна	жр
Владислава	жр
Наталья	жр
Василиса	жр
Агата	жр
Самира	жр
Виктория	жр
Олеся	жр
Амелия	жр
Антонина	жр
Елизавета	жр
Аделина	жр
Амина	жр
Ника	жр
Ксения	жр
Оксана	жр
Эльвира	жр
Мадина	жр
Милана	жр
Таисия	жр
Ярослава	жр
Наташа	жр
Вероника	жр
Надежда	жр
Стефания	жр
Снежана	жр
Алиса	жр
Евгения	жр
Регина	жр
Каролина	жр
Валерия	жр
Элина	жр
Алла	жр
Юлиана	жр
Александра	жр
Злата	жр
Виолетта	жр
Ариана	жр
Ульяна	жр
Есения	жр
Лидия	жр
Эльмира	жр
Кристина	жр
Милена	жр
Амалия	жр
Ясмина	жр
София	жр
Вера	жр
Наталия	жр
Жанна	жр
Александр	мр
Марк	мр
Георгий	мр
Артемий	мр
Дмитрий	мр
Константин	мр
Давид	мр
Эмиль	мр
Максим	мр
Тимур	мр
Платон	мр
Назар	мр
Сергей	мр
Олег	мр
Анатолий	мр
Савва	мр
Андрей	мр
Ярослав	мр
Григорий	мр
Ян	мр
Алексей	мр
Антон	мр
Демид	мр
Рустам	мр
Артём	мр
Николай	мр
Данила	мр
Игнат	мр
Илья	мр
Глеб	мр
Станислав	мр
Влад	мр
Кирилл	мр
Данил	мр
Василий	мр
Альберт	мр
Михаил	мр
Савелий	мр
Федор	мр
Тамерлан	мр
Никита	мр
Вадим	мр
Родион	мр
Айдар	мр
Матвей	мр
Степан	мр
Леонид	мр
Роберт	мр
Роман	мр
Юрий	мр
Одиссей	мр
Егор	мр
Богдан	мр
Валерий	мр
Марсель	мр
Арсений	мр
Артур	мр
Святослав	мр
Ильдар	мр
Иван	мр
Семен	мр
Борис	мр
Самир	мр
Денис	мр
Макар	мр
Эдуард	мр
Тихон	мр
Евгений	мр
Лев	мр
Марат	мр
Рамиль	мр
Даниил	мр
Виктор	мр
Герман	мр
Ринат	мр
Тимофей	мр
Елисей	мр
Даниэль	мр
Радмир	мр
Владислав	мр
Виталий	мр
Петр	мр
Филипп	мр
Игорь	мр
Вячеслав	мр
Амир	мр
Арсен	мр
Владимир	мр
Захар	мр
Всеволод	мр
Ростислав	мр
Павел	мр
Мирон	мр
Мирослав	мр
Святогор	мр
Руслан	мр
Дамир	мр
Гордей	мр
Яромир	мр
