lemma	word	grammemes
Иванович	Ивановича	мр,ед,рд
Иванович	Ивановичу	мр,ед,дт
Иванович	Ивановича	мр,ед,вн
Иванович	Ивановичем	мр,ед,тв
Иванович	Ивановиче	мр,ед,пр

Борух-Бендитовна	Борух-Бендитовне	жр,ед,дт
Георгиевна-Авраамовна	Георгиевне-Авраамовне	жр,ед,дт

Геннадиевич	Геннадиевич	мр,ед,им
Геннадиевна	Геннадиевны	жр,ед,рд
Васильевич	Васильевичу	мр,ед,дт
Васильевна,	Васильевну	жр,ед,вн
Павлович,	Павловичем	мр,ед,тв
Павловна,	Павловне	мр,ед,пр

Рашитович	Рашитовича	мр,ед,рд
Рашитович	Рашитовичу	мр,ед,дт
Рашитович	Рашитовича	мр,ед,вн
Рашитович	Рашитовичем	мр,ед,тв
Рашитович	Рашитовиче	мр,ед,пр
