lemma	word	grammemes
Иванов	Иванова	мр,ед,рд
Иванов	Иванову	мр,ед,дт
Иванов	Иванова	мр,ед,вн
Иванов	Ивановым	мр,ед,тв
Иванов	Иванове	мр,ед,пр
Бильжо	Бильжо	мр,ед,дт
Ничипорук	Ничипоруку	мр,ед,дт
Щусь	Щусю	мр,ед,дт
Фидря	Фидре	мр,ед,дт
Белоконь	Белоконю	мр,ед,дт
Добробаба	Добробабе	мр,ед,дт
Исайченко	Исайченко	мр,ед,дт
Бондаришин	Бондаришину	мр,ед,дт
Дубинка	Дубинке	мр,ед,дт
Сирота	Сироте	мр,ед,дт
Воевода	Воеводе	мр,ед,дт
Волож	Воложу	мр,ед,дт
Кравец	Кравцу	мр,ед,дт
Самотечний	Самотечнему	мр,ед,дт
Цой	Цою	мр,ед,дт
Шопен	Шопену	мр,ед,дт
Сосковец	Сосковцу	мр,ед,дт
Бильжо	Бильжо	жр,ед,дт
Ничипорук	Ничипорук	жр,ед,дт
Щусь	Щусь	жр,ед,дт
Фидря	Фидре	жр,ед,дт
Белоконь	Белоконь	жр,ед,дт
Добробаба	Добробабе	жр,ед,дт
Исайченко	Исайченко	жр,ед,дт
Бондаришин	Бондаришин	жр,ед,дт
Дубинка	Дубинке	жр,ед,дт
Сирота	Сироте	жр,ед,дт
Воевода	Воеводе	жр,ед,дт
Гулыга	Гулыге	жр,ед,дт
Дейнека	Дейнеке	жр,ед,дт
Джанджагава	Джанджагаве	жр,ед,дт
Забейворота	Забейворота	жр,ед,дт
Окуджава	Окуджаве	жр,ед,дт
Кочубей	Кочубею	мр,ед,дт
Козлов	Козлову	мр,ед,дт
Салтыков-Щедрин	Салтыкову-Щедрину	мр,ед,дт
Дюма	Дюма	мр,ед,дт
Воробей	Воробью	мр,ед,дт
Воробей	Воробей	жр,ед,дт
Плевако	Плевако	мр,ед,дт
Пушкин	Пушкин	мр,ед,им
Цветаева	Цветаевой	жр,ед,рд
Толстой	Толстому	мр,ед,дт
Ахматова	Ахматову	жр,ед,вн
Лермонтов	Лермонтовым	мр,ед,тв
Баркова	Барковой	жр,ед,пр
Кваша	Кваши	мр,ед,рд
Мулюков	Мулюкова	мр,ед,рд
Мулюков	Мулюкову	мр,ед,дт
Мулюков	Мулюкова	мр,ед,вн
Мулюков	Мулюковым	мр,ед,тв
Мулюков	Мулюкове	мр,ед,пр
Левобережный	Левобережного	мр,ед,рд
Маковецкая	Маковецкой	жр,ед,рд
Слуцкая	Слуцкой	жр,ед,дт
Штеттер	Штеттеру	мр,ед,дт
Маковецкая	Маковецкой	жр,ед,рд
Коломиец	Коломийца	мр,ед,рд
Быхун	Быхуном	мр,ед,тв
Дарвин	Дарвином	мр,ед,тв
Ильин	Ильиным	мр,ед,тв
